Milliseconds,Voltage
0,953
10,930
20,907
30,935
40,914
51,909
62,884
72,843
82,804
93,777
103,793
113,752
123,758
135,776
145,810
155,809
165,798
176,783
186,799
197,823
207,798
218,787
228,744
238,776
248,727
260,755
270,724
280,738
290,786
301,771
311,819
322,861
332,818
343,826
353,797
363,803
373,792
385,773
395,783
405,829
415,859
425,863
436,856
447,813
457,821
467,798
478,838
488,793
498,766
509,796
520,773
530,817
540,849
550,822
561,795
572,772
582,816
592,801
603,760
613,731
623,714
634,667
645,669
655,677
665,658
675,670
686,659
697,642
707,601
717,625
728,612
738,585
748,544
759,584
770,581
780,591
790,611
800,621
811,600
822,604
832,640
842,652
852,676
863,712
873,689
884,733
894,757
905,716
915,685
925,640
935,646
947,668
957,623
967,665
977,616
988,591
998,633
1009,620
1019,575
1030,611
1040,629
1050,635
1061,626
1072,662
1082,710
1092,714
1103,722
1114,699
1124,717
1134,753
1144,752
1156,784
1166,794
1176,779
1186,807
1197,851
1208,842
1218,829
1228,806
1239,852
1250,843
1260,843
1270,816
1281,789
1291,811
1302,794
1312,808
1323,761
1333,734
1343,731
1354,712
1364,750
1375,713
1385,761
1395,797
1406,817
1417,817
1427,831
1437,873
1448,883
1459,927
1469,914
1479,930
1489,921
1501,949
1511,906
1521,952
1531,988
1542,1002
1553,983
1563,1011
1573,1037
1584,1004
1595,983
1605,1021
1615,1053
1626,1063
1637,1030
1647,985
1657,948
1668,954
1679,958
1689,953
1699,908
1710,936
1720,962
1731,1006
1741,1036
1752,997
1762,1017
1773,1057
1783,1065
1794,1040
1804,1068
1815,1070
1825,1025
1836,996
1846,957
1857,954
1867,913
1878,935
1888,943
1899,955
1909,959
1920,969
1930,991
1940,1013
1951,1059
1961,1050
1972,1023
1982,1069
1993,1030
2003,1029
2014,1053
2024,1038
2035,1011
2045,1049
2056,1016
2067,971
2077,964
2087,925
2098,900
2108,926
2119,954
2129,927
2140,963
2150,971
2160,958
2171,945
2182,991
2192,993
2202,1005
2213,1019
2224,1039
2234,1057
2244,1083
2255,1074
2266,1071
2276,1077
2286,1123
2297,1104
2308,1114
2318,1122
2328,1140
2339,1091
2350,1103
2360,1058
2370,1068
2381,1116
2392,1075
2402,1050
2413,1050
2423,1023
2434,1006
2444,1012
2455,1032
2465,1066
2476,1076
2486,1080
2497,1061
2507,1050
2518,1094
2528,1118
2539,1095
2549,1123
2560,1149
2571,1155
2582,1191
2593,1219
2605,1184
2616,1208
2628,1256
2639,1282
2651,1326
2662,1301
2673,1260
2685,1282
2697,1275
2708,1246
2719,1270
2731,1308
2742,1354
2754,1398
2765,1418
2777,1426
2788,1458
2799,1437
2810,1390
