Milliseconds,Voltage
0,1012
10,1058
20,1068
30,1116
40,1073
52,1048
62,1037
72,1081
82,1095
93,1103
103,1086
114,1124
124,1117
135,1131
145,1139
155,1147
166,1128
177,1105
187,1088
197,1065
208,1048
219,1039
229,1010
239,987
249,1003
261,968
271,1016
281,1030
291,1005
302,972
313,1008
323,991
333,972
344,943
354,971
364,1007
375,1004
386,1030
396,1030
406,991
416,1019
428,1045
438,1083
448,1068
458,1045
468,1055
480,1089
490,1099
500,1056
510,1051
522,1071
532,1113
542,1135
552,1181
563,1146
574,1099
584,1139
594,1134
605,1148
615,1125
626,1155
636,1122
647,1148
657,1178
668,1224
678,1211
689,1223
699,1184
709,1214
720,1232
731,1274
741,1251
751,1246
761,1294
773,1294
783,1291
793,1260
803,1296
814,1344
825,1358
835,1380
845,1390
856,1422
867,1446
877,1441
887,1438
898,1486
908,1469
919,1458
929,1433
940,1384
950,1335
960,1353
971,1352
982,1335
992,1326
1002,1307
1013,1349
1024,1393
1034,1413
1044,1378
1055,1412
1065,1369
1076,1389
1086,1358
1097,1319
1107,1288
1118,1247
1128,1267
1139,1232
1149,1197
1160,1168
1170,1178
1181,1188
1191,1151
1202,1169
1212,1189
1223,1237
1233,1208
1244,1212
1255,1191
1265,1195
1275,1188
1286,1232
1297,1229
1307,1206
1317,1234
1328,1207
1339,1186
1349,1224
1359,1250
1370,1247
1381,1295
1391,1264
1401,1266
1412,1247
1423,1206
1433,1181
1443,1199
1454,1180
1465,1155
1475,1118
1485,1117
1496,1072
1507,1039
1517,1039
1527,1053
1539,1069
1549,1091
1559,1086
1569,1055
1581,1040
1591,1066
1601,1063
1611,1073
1623,1072
1633,1102
1643,1122
1654,1126
1666,1144
1677,1117
1688,1157
1700,1116
1712,1138
1723,1097
1734,1068
1745,1067
1757,1036
1769,1074
1780,1078
1792,1106
1803,1114
1814,1136
1826,1127
1838,1086
1849,1043
1860,1028
1871,1040
1883,997
1894,978
1904,933
